player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
ajay mitchell,assists,1.5,True,2026-05-06,,,-800.0,,,,-800.0,,,
ajay mitchell,assists,2.5,True,2026-05-06,-275.0,-238.0,,,,,-238.0,,,
ajay mitchell,assists,3.5,False,2026-05-06,-105.0,100.0,104.0,-125.0,-131.0,-138.0,104.0,,-125.0,
ajay mitchell,assists,3.5,True,2026-05-06,,100.0,106.0,,,,106.0,,,
ajay mitchell,assists,4.5,True,2026-05-06,200.0,215.0,,,,,215.0,,,
ajay mitchell,assists,5.5,True,2026-05-06,,432.0,480.0,,,,480.0,,,
ajay mitchell,assists,6.5,True,2026-05-06,775.0,850.0,,,,,850.0,,,
ajay mitchell,assists,7.5,True,2026-05-06,,1560.0,1500.0,,,,1560.0,,,
ajay mitchell,assists,8.5,True,2026-05-06,,2500.0,,,,,2500.0,,,
ajay mitchell,points,7.5,True,2026-05-06,,-1200.0,,,,,-1200.0,,,
ajay mitchell,points,9.5,True,2026-05-06,-650.0,-543.0,-670.0,,,,-543.0,,,
ajay mitchell,points,11.5,True,2026-05-06,,-284.0,,,,,-284.0,,,
ajay mitchell,points,14.5,False,2026-05-06,,,-130.0,,,-102.0,-130.0,,-102.0,
ajay mitchell,points,14.5,True,2026-05-06,-145.0,-127.0,-128.0,,,,-127.0,,,
ajay mitchell,points,15.5,False,2026-05-06,-110.0,-101.0,,-120.0,-127.0,,-101.0,,-120.0,
ajay mitchell,points,15.5,True,2026-05-06,,-101.0,,,,,-101.0,,,
ajay mitchell,points,17.5,True,2026-05-06,,158.0,,,,,158.0,,,
ajay mitchell,points,19.5,True,2026-05-06,230.0,248.0,290.0,,,,290.0,,,
ajay mitchell,points,24.5,True,2026-05-06,700.0,690.0,900.0,,,,900.0,,,
ajay mitchell,points,29.5,True,2026-05-06,,1680.0,3000.0,,,,3000.0,,,
ajay mitchell,rebounds,2.5,True,2026-05-06,-350.0,-364.0,,,,,-350.0,,,
ajay mitchell,rebounds,3.5,False,2026-05-06,-150.0,-147.0,-154.0,110.0,111.0,116.0,-147.0,,116.0,
ajay mitchell,rebounds,3.5,True,2026-05-06,,-149.0,-150.0,,,,-149.0,,,
ajay mitchell,rebounds,4.5,True,2026-05-06,145.0,142.0,,,,,145.0,,,
ajay mitchell,rebounds,5.5,True,2026-05-06,,281.0,310.0,,,,310.0,,,
ajay mitchell,rebounds,6.5,True,2026-05-06,550.0,546.0,,,,,550.0,,,
ajay mitchell,rebounds,7.5,True,2026-05-06,,1020.0,1100.0,,,,1100.0,,,
ajay mitchell,rebounds,8.5,True,2026-05-06,,1740.0,,,,,1740.0,,,
ajay mitchell,rebounds,9.5,True,2026-05-06,,2600.0,,,,,2600.0,,,
ajay mitchell,threes,0.5,True,2026-05-06,-450.0,-367.0,-430.0,,,,-367.0,,,
ajay mitchell,threes,1.5,False,2026-05-06,100.0,118.0,116.0,-135.0,-156.0,-154.0,118.0,,-135.0,
ajay mitchell,threes,1.5,True,2026-05-06,100.0,120.0,118.0,,,,120.0,,,
ajay mitchell,threes,2.5,True,2026-05-06,300.0,364.0,370.0,,,,370.0,,,
ajay mitchell,threes,3.5,True,2026-05-06,750.0,980.0,1060.0,,,,1060.0,,,
ajay mitchell,threes,4.5,True,2026-05-06,,2100.0,,,,,2100.0,,,
alex caruso,points,7.5,False,2026-05-06,,,-106.0,,,-125.0,-106.0,,-125.0,
alex caruso,points,9.5,True,2026-05-06,,,190.0,,,,190.0,,,
alex caruso,points,14.5,True,2026-05-06,,,800.0,,,,800.0,,,
alex caruso,rebounds,3.5,True,2026-05-06,,,142.0,,,,142.0,,,
alex caruso,rebounds,5.5,True,2026-05-06,,,600.0,,,,600.0,,,
andre drummond,points,2.5,False,2026-05-05,,,106.0,,,-140.0,106.0,,-140.0,
andre drummond,points,2.5,True,2026-05-05,,-113.0,,,,,-113.0,,,
andre drummond,points,5.5,True,2026-05-05,,286.0,,,,,286.0,,,
andre drummond,points,7.5,True,2026-05-05,,630.0,,,,,630.0,,,
andre drummond,points,9.5,True,2026-05-05,,1260.0,,,,,1260.0,,,
andre drummond,points,11.5,True,2026-05-05,,2200.0,,,,,2200.0,,,
andre drummond,rebounds,2.5,False,2026-05-05,,,-154.0,,,116.0,-154.0,,116.0,
andre drummond,rebounds,2.5,True,2026-05-05,,-185.0,,,,,-185.0,,,
andre drummond,rebounds,3.5,False,2026-05-05,,105.0,,,-138.0,,105.0,,-138.0,
andre drummond,rebounds,3.5,True,2026-05-05,,105.0,124.0,,,,124.0,,,
andre drummond,rebounds,4.5,True,2026-05-05,,190.0,,,,,190.0,,,
andre drummond,rebounds,5.5,True,2026-05-05,,332.0,340.0,,,,340.0,,,
andre drummond,rebounds,6.5,True,2026-05-05,,555.0,,,,,555.0,,,
andre drummond,rebounds,7.5,True,2026-05-05,,910.0,830.0,,,,910.0,,,
andre drummond,rebounds,8.5,True,2026-05-05,,1380.0,,,,,1380.0,,,
andre drummond,rebounds,9.5,True,2026-05-05,,2000.0,1400.0,,,,2000.0,,,
andre drummond,rebounds,10.5,True,2026-05-05,,2800.0,,,,,2800.0,,,
anthony edwards,assists,1.5,True,2026-05-05,,,-1100.0,,,,-1100.0,,,
anthony edwards,assists,3.5,False,2026-05-05,,,-125.0,,,-106.0,-125.0,,-106.0,
anthony edwards,assists,3.5,True,2026-05-05,,,-122.0,,,,-122.0,,,
anthony edwards,assists,5.5,True,2026-05-05,,,360.0,,,,360.0,,,
anthony edwards,assists,7.5,True,2026-05-05,,,1300.0,,,,1300.0,,,
anthony edwards,points,14.5,True,2026-05-05,,,-1200.0,,,,-1200.0,,,
anthony edwards,points,19.5,True,2026-05-05,,,-310.0,,,,-310.0,,,
anthony edwards,points,24.5,False,2026-05-05,,,-106.0,,,-122.0,-106.0,,-122.0,
anthony edwards,points,24.5,True,2026-05-05,,,-104.0,,,,-104.0,,,
anthony edwards,points,29.5,True,2026-05-05,,,240.0,,,,240.0,,,
anthony edwards,points,34.5,True,2026-05-05,,,600.0,,,,600.0,,,
anthony edwards,points,39.5,True,2026-05-05,,,1300.0,,,,1300.0,,,
anthony edwards,points,44.5,True,2026-05-05,,,3500.0,,,,3500.0,,,
anthony edwards,rebounds,3.5,True,2026-05-05,,,-310.0,,,,-310.0,,,
anthony edwards,rebounds,4.5,False,2026-05-05,,,-146.0,,,110.0,-146.0,,110.0,
anthony edwards,rebounds,5.5,True,2026-05-05,,,148.0,,,,148.0,,,
anthony edwards,rebounds,7.5,True,2026-05-05,,,520.0,,,,520.0,,,
anthony edwards,rebounds,9.5,True,2026-05-05,,,1400.0,,,,1400.0,,,
anthony edwards,threes,1.5,True,2026-05-05,,,-590.0,,,,-590.0,,,
anthony edwards,threes,2.5,True,2026-05-05,,,-178.0,,,,-178.0,,,
anthony edwards,threes,3.5,True,2026-05-05,,,144.0,,,,144.0,,,
anthony edwards,threes,4.5,True,2026-05-05,,,330.0,,,,330.0,,,
anthony edwards,threes,5.5,True,2026-05-05,,,680.0,,,,680.0,,,
