player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
ace bailey,assists,1.5,False,2026-03-06,-150.0,,,115.0,,,-150.0,,115.0,
ace bailey,assists,1.5,True,2026-03-06,,-140.0,,,,,-140.0,,,
ace bailey,assists,2.5,True,2026-03-06,,209.0,,,,,209.0,,,
ace bailey,assists,3.5,True,2026-03-06,,549.0,,,,,549.0,,,
ace bailey,assists,4.5,True,2026-03-06,,1260.0,,,,,1260.0,,,
ace bailey,assists,5.5,True,2026-03-06,,2500.0,,,,,2500.0,,,
ace bailey,points,7.5,True,2026-03-06,,-3000.0,,,,,-3000.0,,,
ace bailey,points,9.5,True,2026-03-06,-1400.0,-1100.0,-1400.0,,,,-1100.0,,,
ace bailey,points,11.5,True,2026-03-06,,-531.0,,,,,-531.0,,,
ace bailey,points,14.5,True,2026-03-06,-235.0,-231.0,-245.0,,,,-231.0,,,
ace bailey,points,17.5,False,2026-03-06,,-118.0,-118.0,,-108.0,-112.0,-118.0,,-108.0,
ace bailey,points,17.5,True,2026-03-06,,-117.0,,,,,-117.0,,,
ace bailey,points,18.5,False,2026-03-06,-110.0,,,-118.0,,,-110.0,,-118.0,
ace bailey,points,19.5,True,2026-03-06,155.0,133.0,138.0,,,,155.0,,,
ace bailey,points,24.5,True,2026-03-06,475.0,370.0,360.0,,,,475.0,,,
ace bailey,points,29.5,True,2026-03-06,,950.0,1000.0,,,,1000.0,,,
ace bailey,points,34.5,True,2026-03-06,,2200.0,1800.0,,,,2200.0,,,
ace bailey,rebounds,2.5,True,2026-03-06,-1600.0,-850.0,,,,,-850.0,,,
ace bailey,rebounds,3.5,True,2026-03-06,,-317.0,-350.0,,,,-317.0,,,
ace bailey,rebounds,4.5,False,2026-03-06,,-148.0,-162.0,,113.0,122.0,-148.0,,122.0,
ace bailey,rebounds,4.5,True,2026-03-06,-210.0,-148.0,,,,,-148.0,,,
ace bailey,rebounds,5.5,False,2026-03-06,120.0,,,-160.0,,,120.0,,-160.0,
ace bailey,rebounds,5.5,True,2026-03-06,,129.0,130.0,,,,130.0,,,
ace bailey,rebounds,6.5,True,2026-03-06,185.0,238.0,,,,,238.0,,,
ace bailey,rebounds,7.5,True,2026-03-06,,414.0,430.0,,,,430.0,,,
ace bailey,rebounds,8.5,True,2026-03-06,,730.0,,,,,730.0,,,
ace bailey,rebounds,9.5,True,2026-03-06,,1240.0,1100.0,,,,1240.0,,,
ace bailey,threes,0.5,True,2026-03-06,-900.0,-800.0,-900.0,,,,-800.0,,,
ace bailey,threes,1.5,False,2026-03-06,,-165.0,-180.0,,125.0,134.0,-165.0,,134.0,
ace bailey,threes,1.5,True,2026-03-06,-175.0,-168.0,-172.0,,,,-168.0,,,
ace bailey,threes,2.5,True,2026-03-06,175.0,175.0,186.0,,,,186.0,,,
ace bailey,threes,3.5,True,2026-03-06,475.0,433.0,470.0,,,,475.0,,,
ace bailey,threes,4.5,True,2026-03-06,,1020.0,1100.0,,,,1100.0,,,
ace bailey,threes,5.5,True,2026-03-06,,2000.0,2000.0,,,,2000.0,,,
al horford,assists,2.5,False,2026-03-06,-118.0,,,-110.0,,,-118.0,,-110.0,
al horford,assists,2.5,True,2026-03-06,,-122.0,,,,,-122.0,,,
al horford,assists,3.5,True,2026-03-06,,197.0,,,,,197.0,,,
al horford,assists,4.5,True,2026-03-06,,426.0,,,,,426.0,,,
al horford,assists,5.5,True,2026-03-06,,890.0,,,,,890.0,,,
al horford,assists,6.5,True,2026-03-06,,1700.0,,,,,1700.0,,,
al horford,assists,7.5,True,2026-03-06,,2900.0,,,,,2900.0,,,
al horford,points,5.5,True,2026-03-06,,-501.0,,,,,-501.0,,,
al horford,points,7.5,True,2026-03-06,,-244.0,,,,,-244.0,,,
al horford,points,9.5,False,2026-03-06,,-123.0,,,-103.0,,-123.0,,-103.0,
al horford,points,9.5,True,2026-03-06,,-126.0,-132.0,,,,-126.0,,,
al horford,points,10.5,False,2026-03-06,115.0,,100.0,-155.0,,-132.0,115.0,,-132.0,
al horford,points,11.5,True,2026-03-06,,142.0,,,,,142.0,,,
al horford,points,14.5,True,2026-03-06,,320.0,300.0,,,,320.0,,,
al horford,points,17.5,True,2026-03-06,,680.0,,,,,680.0,,,
al horford,points,19.5,True,2026-03-06,,1080.0,1000.0,,,,1080.0,,,
al horford,points,24.5,True,2026-03-06,,2700.0,,,,,2700.0,,,
al horford,rebounds,2.5,True,2026-03-06,,-1420.0,,,,,-1420.0,,,
al horford,rebounds,3.5,True,2026-03-06,,-519.0,-590.0,,,,-519.0,,,
al horford,rebounds,4.5,True,2026-03-06,,-250.0,,,,,-250.0,,,
al horford,rebounds,5.5,False,2026-03-06,-115.0,-129.0,-130.0,-115.0,-102.0,-102.0,-115.0,,-102.0,
al horford,rebounds,5.5,True,2026-03-06,,-132.0,-125.0,,,,-125.0,,,
al horford,rebounds,6.5,True,2026-03-06,,132.0,,,,,132.0,,,
