player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Landry Shamet,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,194.0,-270.0,False,fanduel,2026-06-07T14:36:01.936416
Miles McBride,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,126.0,-168.0,False,fanduel,2026-06-07T14:36:01.936430
Karl-Anthony Towns,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,3.5,-162.0,122.0,False,fanduel,2026-06-07T14:36:01.936433
OG Anunoby,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,-114.0,-114.0,False,fanduel,2026-06-07T14:36:01.936435
Victor Wembanyama,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,3.5,142.0,-192.0,False,fanduel,2026-06-07T14:36:01.936437
Jalen Brunson,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,5.5,-136.0,102.0,False,fanduel,2026-06-07T14:36:01.936439
Devin Vassell,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,2.5,116.0,-154.0,False,fanduel,2026-06-07T14:36:01.936441
Stephon Castle,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,6.5,-108.0,-122.0,False,fanduel,2026-06-07T14:36:01.936443
Julian Champagnie,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,116.0,-158.0,False,fanduel,2026-06-07T14:36:01.936446
De'Aaron Fox,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,5.5,-106.0,-125.0,False,fanduel,2026-06-07T14:36:01.936448
Dylan Harper,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,3.5,126.0,-168.0,False,fanduel,2026-06-07T14:36:01.936449
Josh Hart,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,4.5,-102.0,-130.0,False,fanduel,2026-06-07T14:36:01.936451
Mikal Bridges,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,2.5,-180.0,134.0,False,fanduel,2026-06-07T14:36:01.936453
Jose Alvarado,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,148.0,-200.0,False,fanduel,2026-06-07T14:36:01.936455
Devin Vassell,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,1.5,-290.0,205.0,True,fanduel,2026-06-07T14:36:01.936538
Devin Vassell,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,2.5,116.0,-154.0,True,fanduel,2026-06-07T14:36:01.936540
Devin Vassell,,,0707c5b20ff523e730c85090c7faffdf,2026-06-09,00:40,assists,3.5,300.0,-440.0,True,fanduel,2026-06-07T14:36:01.936542
