player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
anthony edwards,assists,1.5,True,2026-04-05,,,-720.0,,,,-720.0,fanduel,,
anthony edwards,assists,2.5,False,2026-04-05,-175.0,,,130.0,,,-175.0,betmgm,130.0,
anthony edwards,assists,2.5,True,2026-04-05,-185.0,-203.0,,,,,-185.0,betmgm,,
anthony edwards,assists,3.5,False,2026-04-05,,121.0,116.0,,-159.0,-154.0,121.0,draftkings,-154.0,
anthony edwards,assists,3.5,True,2026-04-05,,121.0,118.0,,,,121.0,draftkings,,
anthony edwards,assists,4.5,True,2026-04-05,300.0,273.0,,,,,300.0,betmgm,,
anthony edwards,assists,5.5,True,2026-04-05,,585.0,560.0,,,,585.0,draftkings,,
anthony edwards,assists,6.5,True,2026-04-05,,1200.0,,,,,1200.0,draftkings,,
anthony edwards,assists,7.5,True,2026-04-05,,2200.0,1800.0,,,,2200.0,draftkings,,
anthony edwards,points,14.5,True,2026-04-05,-1600.0,-1260.0,-1800.0,,,,-1260.0,draftkings,,
anthony edwards,points,17.5,True,2026-04-05,,-491.0,,,,,-491.0,draftkings,,
anthony edwards,points,19.5,True,2026-04-05,-350.0,-294.0,-390.0,,,,-294.0,draftkings,,
anthony edwards,points,23.5,False,2026-04-05,,-124.0,,,-103.0,,-124.0,draftkings,-103.0,
anthony edwards,points,23.5,True,2026-04-05,,-123.0,,,,,-123.0,draftkings,,
anthony edwards,points,24.5,False,2026-04-05,-115.0,,,-115.0,,,-115.0,betmgm,-115.0,
anthony edwards,points,24.5,True,2026-04-05,-115.0,-101.0,-128.0,,,,-101.0,draftkings,,
anthony edwards,points,25.5,False,2026-04-05,,,-104.0,,,-128.0,-104.0,fanduel,-128.0,
anthony edwards,points,29.5,True,2026-04-05,230.0,257.0,210.0,,,,257.0,draftkings,,
anthony edwards,points,34.5,True,2026-04-05,575.0,650.0,470.0,,,,650.0,draftkings,,
anthony edwards,points,39.5,True,2026-04-05,,1640.0,1060.0,,,,1640.0,draftkings,,
anthony edwards,points,44.5,True,2026-04-05,,,2200.0,,,,2200.0,fanduel,,
anthony edwards,rebounds,2.5,True,2026-04-05,-525.0,-539.0,,,,,-525.0,betmgm,,
anthony edwards,rebounds,3.5,True,2026-04-05,,-208.0,-194.0,,,,-194.0,fanduel,,
anthony edwards,rebounds,4.5,False,2026-04-05,105.0,107.0,114.0,-140.0,-141.0,-152.0,114.0,fanduel,-140.0,
anthony edwards,rebounds,4.5,True,2026-04-05,100.0,105.0,,,,,105.0,draftkings,,
anthony edwards,rebounds,5.5,True,2026-04-05,,206.0,235.0,,,,235.0,fanduel,,
anthony edwards,rebounds,6.5,True,2026-04-05,390.0,395.0,,,,,395.0,draftkings,,
anthony edwards,rebounds,7.5,True,2026-04-05,,740.0,830.0,,,,830.0,fanduel,,
anthony edwards,rebounds,8.5,True,2026-04-05,,1380.0,,,,,1380.0,draftkings,,
anthony edwards,rebounds,9.5,True,2026-04-05,,,2000.0,,,,2000.0,fanduel,,
anthony edwards,threes,0.5,True,2026-04-05,,-2400.0,-4000.0,,,,-2400.0,draftkings,,
anthony edwards,threes,1.5,True,2026-04-05,-525.0,-395.0,-480.0,,,,-395.0,draftkings,,
anthony edwards,threes,2.5,False,2026-04-05,-165.0,-128.0,-162.0,125.0,-103.0,122.0,-128.0,draftkings,125.0,
anthony edwards,threes,2.5,True,2026-04-05,-165.0,-129.0,-160.0,,,,-129.0,draftkings,,
anthony edwards,threes,3.5,True,2026-04-05,140.0,185.0,162.0,,,,185.0,draftkings,,
anthony edwards,threes,4.5,True,2026-04-05,320.0,412.0,370.0,,,,412.0,draftkings,,
anthony edwards,threes,5.5,True,2026-04-05,,880.0,800.0,,,,880.0,draftkings,,
anthony edwards,threes,6.5,True,2026-04-05,,1640.0,1500.0,,,,1640.0,draftkings,,
anthony edwards,threes,7.5,True,2026-04-05,,2800.0,3500.0,,,,3500.0,fanduel,,
ayo dosunmu,assists,1.5,True,2026-04-05,,,-2000.0,,,,-2000.0,fanduel,,
ayo dosunmu,assists,2.5,True,2026-04-05,-450.0,-344.0,,,,,-344.0,draftkings,,
ayo dosunmu,assists,3.5,True,2026-04-05,,-161.0,-200.0,,,,-161.0,draftkings,,
ayo dosunmu,assists,4.5,False,2026-04-05,125.0,121.0,114.0,-165.0,-160.0,-152.0,125.0,betmgm,-152.0,
ayo dosunmu,assists,4.5,True,2026-04-05,125.0,121.0,,,,,125.0,betmgm,,
ayo dosunmu,assists,5.5,True,2026-04-05,,218.0,230.0,,,,230.0,fanduel,,
ayo dosunmu,assists,6.5,True,2026-04-05,475.0,381.0,,,,,475.0,betmgm,,
ayo dosunmu,assists,7.5,True,2026-04-05,,660.0,800.0,,,,800.0,fanduel,,
ayo dosunmu,assists,8.5,True,2026-04-05,,1140.0,,,,,1140.0,draftkings,,
ayo dosunmu,assists,9.5,True,2026-04-05,,1840.0,1700.0,,,,1840.0,draftkings,,
ayo dosunmu,assists,10.5,True,2026-04-05,,2700.0,,,,,2700.0,draftkings,,
ayo dosunmu,points,7.5,True,2026-04-05,,-1340.0,,,,,-1340.0,draftkings,,
ayo dosunmu,points,9.5,True,2026-04-05,-550.0,-570.0,-460.0,,,,-460.0,fanduel,,
ayo dosunmu,points,11.5,True,2026-04-05,,-286.0,,,,,-286.0,draftkings,,
ayo dosunmu,points,14.5,False,2026-04-05,-120.0,,,-110.0,,,-120.0,betmgm,-110.0,
ayo dosunmu,points,14.5,True,2026-04-05,-120.0,-130.0,-122.0,,,,-120.0,betmgm,,
ayo dosunmu,points,15.5,False,2026-04-05,,-102.0,100.0,,-125.0,-132.0,100.0,fanduel,-125.0,
ayo dosunmu,points,15.5,True,2026-04-05,,-102.0,,,,,-102.0,draftkings,,
ayo dosunmu,points,17.5,True,2026-04-05,,157.0,,,,,157.0,draftkings,,
ayo dosunmu,points,19.5,True,2026-04-05,280.0,250.0,230.0,,,,280.0,betmgm,,
ayo dosunmu,points,24.5,True,2026-04-05,825.0,700.0,560.0,,,,825.0,betmgm,,
ayo dosunmu,points,29.5,True,2026-04-05,,1880.0,1300.0,,,,1880.0,draftkings,,
ayo dosunmu,points,34.5,True,2026-04-05,,,3500.0,,,,3500.0,fanduel,,
ayo dosunmu,rebounds,2.5,True,2026-04-05,-625.0,-444.0,,,,,-444.0,draftkings,,
ayo dosunmu,rebounds,3.5,True,2026-04-05,,-202.0,-245.0,,,,-202.0,draftkings,,
ayo dosunmu,rebounds,4.5,False,2026-04-05,-111.0,-104.0,-120.0,-120.0,-127.0,-110.0,-104.0,draftkings,-110.0,
ayo dosunmu,rebounds,4.5,True,2026-04-05,-111.0,-104.0,,,,,-104.0,draftkings,,
ayo dosunmu,rebounds,5.5,True,2026-04-05,,178.0,162.0,,,,178.0,draftkings,,
ayo dosunmu,rebounds,6.5,True,2026-04-05,325.0,315.0,,,,,325.0,betmgm,,
ayo dosunmu,rebounds,7.5,True,2026-04-05,,540.0,450.0,,,,540.0,draftkings,,
ayo dosunmu,rebounds,8.5,True,2026-04-05,,880.0,,,,,880.0,draftkings,,
ayo dosunmu,rebounds,9.5,True,2026-04-05,,1400.0,1000.0,,,,1400.0,draftkings,,
ayo dosunmu,rebounds,11.5,True,2026-04-05,,,1700.0,,,,1700.0,fanduel,,
ayo dosunmu,threes,0.5,True,2026-04-05,-500.0,-473.0,-530.0,,,,-473.0,draftkings,,
ayo dosunmu,threes,1.5,False,2026-04-05,-111.0,-108.0,-114.0,-118.0,-122.0,-114.0,-108.0,draftkings,-114.0,
ayo dosunmu,threes,1.5,True,2026-04-05,-115.0,-108.0,-113.0,,,,-108.0,draftkings,,
ayo dosunmu,threes,2.5,True,2026-04-05,260.0,270.0,260.0,,,,270.0,draftkings,,
ayo dosunmu,threes,3.5,True,2026-04-05,650.0,720.0,630.0,,,,720.0,draftkings,,
ayo dosunmu,threes,4.5,True,2026-04-05,,1740.0,1500.0,,,,1740.0,draftkings,,
ayo dosunmu,threes,5.5,True,2026-04-05,,,3000.0,,,,3000.0,fanduel,,
bennedict mathurin,assists,1.5,True,2026-04-06,,-150.0,-172.0,,,,-150.0,draftkings,,
bennedict mathurin,assists,2.5,True,2026-04-06,,202.0,,,,,202.0,draftkings,,
bennedict mathurin,assists,3.5,True,2026-04-06,,533.0,420.0,,,,533.0,draftkings,,
bennedict mathurin,assists,4.5,True,2026-04-06,,1300.0,,,,,1300.0,draftkings,,
bennedict mathurin,assists,5.5,True,2026-04-06,,2500.0,,,,,2500.0,draftkings,,
bennedict mathurin,points,7.5,True,2026-04-06,,-3800.0,,,,,-3800.0,draftkings,,
bennedict mathurin,points,9.5,True,2026-04-06,-1400.0,-1200.0,-1000.0,,,,-1000.0,fanduel,,
bennedict mathurin,points,11.5,True,2026-04-06,,-549.0,,,,,-549.0,draftkings,,
bennedict mathurin,points,14.5,True,2026-04-06,-250.0,-228.0,-205.0,,,,-205.0,fanduel,,
bennedict mathurin,points,16.5,False,2026-04-06,,,-125.0,,,-106.0,-125.0,fanduel,-106.0,
bennedict mathurin,points,17.5,False,2026-04-06,-110.0,-108.0,,-120.0,-118.0,,-108.0,draftkings,-118.0,
bennedict mathurin,points,17.5,True,2026-04-06,,-107.0,,,,,-107.0,draftkings,,
bennedict mathurin,points,19.5,True,2026-04-06,140.0,149.0,168.0,,,,168.0,fanduel,,
bennedict mathurin,points,24.5,True,2026-04-06,425.0,446.0,500.0,,,,500.0,fanduel,,
bennedict mathurin,points,29.5,True,2026-04-06,,1220.0,1300.0,,,,1300.0,fanduel,,
bennedict mathurin,points,34.5,True,2026-04-06,,2700.0,3500.0,,,,3500.0,fanduel,,
bennedict mathurin,rebounds,2.5,True,2026-04-06,-1200.0,-1080.0,,,,,-1080.0,draftkings,,
bennedict mathurin,rebounds,3.5,True,2026-04-06,,-367.0,-330.0,,,,-330.0,fanduel,,
bennedict mathurin,rebounds,4.5,True,2026-04-06,-200.0,-168.0,,,,,-168.0,draftkings,,
bennedict mathurin,rebounds,5.5,False,2026-04-06,100.0,119.0,128.0,-135.0,-157.0,-172.0,128.0,fanduel,-135.0,
bennedict mathurin,rebounds,5.5,True,2026-04-06,,118.0,130.0,,,,130.0,fanduel,,
