player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,5.5,-132.0,100.0,False,fanduel,2026-06-01T16:02:16.228651
Julian Champagnie,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,1.5,126.0,-168.0,False,fanduel,2026-06-01T16:02:16.228667
Mikal Bridges,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,2.5,-140.0,106.0,False,fanduel,2026-06-01T16:02:16.228670
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,6.5,-136.0,102.0,False,fanduel,2026-06-01T16:02:16.228672
Dylan Harper,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,2.5,-130.0,-102.0,False,fanduel,2026-06-01T16:02:16.228674
Victor Wembanyama,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,136.0,-182.0,False,fanduel,2026-06-01T16:02:16.228676
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,6.5,-146.0,110.0,False,fanduel,2026-06-01T16:02:16.228678
Devin Vassell,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,2.5,130.0,-174.0,False,fanduel,2026-06-01T16:02:16.228680
Josh Hart,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,4.5,-102.0,-130.0,False,fanduel,2026-06-01T16:02:16.228683
OG Anunoby,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,1.5,-146.0,110.0,False,fanduel,2026-06-01T16:02:16.228685
Karl-Anthony Towns,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,4.5,-104.0,-128.0,False,fanduel,2026-06-01T16:02:16.228690
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,11.5,1060.0,,True,fanduel,2026-06-01T16:02:16.228753
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,11.5,1100.0,,True,fanduel,2026-06-01T16:02:16.228755
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,11.5,1700.0,,True,fanduel,2026-06-01T16:02:16.228757
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,-2200.0,,True,fanduel,2026-06-01T16:02:16.228759
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,-1800.0,,True,fanduel,2026-06-01T16:02:16.228761
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,-670.0,400.0,True,fanduel,2026-06-01T16:02:16.228762
Karl-Anthony Towns,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,-250.0,182.0,True,fanduel,2026-06-01T16:02:16.228764
Josh Hart,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,-240.0,174.0,True,fanduel,2026-06-01T16:02:16.228768
Victor Wembanyama,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,136.0,-182.0,True,fanduel,2026-06-01T16:02:16.228770
Mikal Bridges,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,182.0,-250.0,True,fanduel,2026-06-01T16:02:16.228772
Dylan Harper,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,200.0,,True,fanduel,2026-06-01T16:02:16.228773
Devin Vassell,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,340.0,,True,fanduel,2026-06-01T16:02:16.228775
OG Anunoby,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,3.5,600.0,,True,fanduel,2026-06-01T16:02:16.228777
Jalen Brunson,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,9.5,350.0,-550.0,True,fanduel,2026-06-01T16:02:16.228778
Stephon Castle,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,9.5,370.0,-600.0,True,fanduel,2026-06-01T16:02:16.228780
De'Aaron Fox,,,1aae688472781f1a1aaf3efdb38e884b,2026-06-04,00:40,assists,9.5,700.0,,True,fanduel,2026-06-01T16:02:16.228784
