player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
adem bona,assists,0.5,True,2026-04-04,,101.0,,,,,101.0,,,
adem bona,assists,2.5,True,2026-04-04,,1680.0,,,,,1680.0,,,
adem bona,points,5.5,False,2026-04-04,-120.0,-126.0,,-110.0,-101.0,,-120.0,,-101.0,
adem bona,points,5.5,True,2026-04-04,,-125.0,,,,,-125.0,,,
adem bona,points,7.5,True,2026-04-04,,167.0,,,,,167.0,,,
adem bona,points,9.5,True,2026-04-04,425.0,324.0,340.0,,,,425.0,,,
adem bona,points,11.5,True,2026-04-04,,600.0,,,,,600.0,,,
adem bona,points,14.5,True,2026-04-04,,1380.0,1200.0,,,,1380.0,,,
adem bona,points,17.5,True,2026-04-04,,2500.0,,,,,2500.0,,,
adem bona,rebounds,2.5,True,2026-04-04,-800.0,-630.0,-750.0,,,430.0,-630.0,,430.0,
adem bona,rebounds,3.5,True,2026-04-04,,-276.0,-310.0,,,220.0,-276.0,,220.0,
adem bona,rebounds,4.5,False,2026-04-04,-150.0,-142.0,,110.0,108.0,,-142.0,,110.0,
adem bona,rebounds,4.5,True,2026-04-04,-150.0,-145.0,-158.0,,,118.0,-145.0,,118.0,
adem bona,rebounds,5.5,False,2026-04-04,,,116.0,,,-148.0,116.0,,-148.0,
adem bona,rebounds,5.5,True,2026-04-04,,120.0,114.0,,,-152.0,120.0,,-152.0,
adem bona,rebounds,6.5,True,2026-04-04,230.0,202.0,188.0,,,-260.0,230.0,,-260.0,
adem bona,rebounds,7.5,True,2026-04-04,,326.0,310.0,,,-470.0,326.0,,-470.0,
adem bona,rebounds,8.5,True,2026-04-04,,511.0,490.0,,,-900.0,511.0,,-900.0,
adem bona,rebounds,9.5,True,2026-04-04,,780.0,630.0,,,,780.0,,,
adem bona,rebounds,10.5,True,2026-04-04,,1180.0,,,,,1180.0,,,
adem bona,rebounds,11.5,True,2026-04-04,,1720.0,1400.0,,,,1720.0,,,
adem bona,rebounds,13.5,True,2026-04-04,,,3000.0,,,,3000.0,,,
anthony edwards,assists,1.5,True,2026-04-05,,,-1100.0,,,,-1100.0,,,
anthony edwards,assists,2.5,True,2026-04-05,,-291.0,,,,,-291.0,,,
anthony edwards,assists,3.5,False,2026-04-05,,-119.0,-114.0,,-111.0,-114.0,-114.0,,-111.0,
anthony edwards,assists,3.5,True,2026-04-05,,-116.0,-113.0,,,,-113.0,,,
anthony edwards,assists,4.5,True,2026-04-05,,186.0,,,,,186.0,,,
anthony edwards,assists,5.5,True,2026-04-05,,395.0,420.0,,,,420.0,,,
anthony edwards,assists,6.5,True,2026-04-05,,800.0,,,,,800.0,,,
anthony edwards,assists,7.5,True,2026-04-05,,1520.0,1400.0,,,,1520.0,,,
anthony edwards,assists,8.5,True,2026-04-05,,2500.0,,,,,2500.0,,,
anthony edwards,points,14.5,True,2026-04-05,,-1820.0,-2500.0,,,,-1820.0,,,
anthony edwards,points,17.5,True,2026-04-05,,-710.0,,,,,-710.0,,,
anthony edwards,points,19.5,True,2026-04-05,,-421.0,-430.0,,,,-421.0,,,
anthony edwards,points,24.5,True,2026-04-05,,-140.0,-148.0,,,,-140.0,,,
anthony edwards,points,25.5,False,2026-04-05,,-115.0,-122.0,,-110.0,-108.0,-115.0,,-108.0,
anthony edwards,points,25.5,True,2026-04-05,,-116.0,,,,,-116.0,,,
anthony edwards,points,29.5,True,2026-04-05,,187.0,180.0,,,,187.0,,,
anthony edwards,points,34.5,True,2026-04-05,,475.0,430.0,,,,475.0,,,
anthony edwards,points,39.5,True,2026-04-05,,1180.0,1000.0,,,,1180.0,,,
anthony edwards,points,44.5,True,2026-04-05,,2400.0,2000.0,,,,2400.0,,,
anthony edwards,rebounds,2.5,True,2026-04-05,,-650.0,,,,,-650.0,,,
anthony edwards,rebounds,3.5,True,2026-04-05,,-252.0,-225.0,,,,-225.0,,,
anthony edwards,rebounds,4.5,False,2026-04-05,,-118.0,-102.0,,-111.0,-130.0,-102.0,,-111.0,
anthony edwards,rebounds,4.5,True,2026-04-05,,-116.0,,,,,-116.0,,,
anthony edwards,rebounds,5.5,True,2026-04-05,,169.0,210.0,,,,210.0,,,
anthony edwards,rebounds,6.5,True,2026-04-05,,321.0,,,,,321.0,,,
anthony edwards,rebounds,7.5,True,2026-04-05,,600.0,800.0,,,,800.0,,,
anthony edwards,rebounds,8.5,True,2026-04-05,,1060.0,,,,,1060.0,,,
anthony edwards,rebounds,9.5,True,2026-04-05,,,1700.0,,,,1700.0,,,
anthony edwards,threes,0.5,True,2026-04-05,,,-4500.0,,,,-4500.0,,,
anthony edwards,threes,1.5,True,2026-04-05,,,-520.0,,,,-520.0,,,
anthony edwards,threes,2.5,False,2026-04-05,,,-166.0,,,124.0,-166.0,,124.0,
anthony edwards,threes,2.5,True,2026-04-05,,,-162.0,,,,-162.0,,,
anthony edwards,threes,3.5,True,2026-04-05,,,154.0,,,,154.0,,,
anthony edwards,threes,4.5,True,2026-04-05,,,350.0,,,,350.0,,,
anthony edwards,threes,5.5,True,2026-04-05,,,750.0,,,,750.0,,,
anthony edwards,threes,6.5,True,2026-04-05,,,1400.0,,,,1400.0,,,
anthony edwards,threes,7.5,True,2026-04-05,,,3000.0,,,,3000.0,,,
ausar thompson,assists,1.5,True,2026-04-04,,,-720.0,,,,-720.0,,,
ausar thompson,assists,2.5,True,2026-04-04,-295.0,-225.0,,,,,-225.0,,,
