player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
a.j. green,assists,2.5,False,2026-03-01,,150.0,,,-195.0,,150.0,,-195.0,
a.j. green,assists,3.5,True,2026-03-01,,850.0,800.0,,,,850.0,,,
a.j. green,points,14.5,False,2026-03-01,,-125.0,,,-105.0,,-125.0,,-105.0,
a.j. green,points,14.5,True,2026-03-01,,-130.0,-154.0,,,,-130.0,,,
a.j. green,points,15.5,False,2026-03-01,,,-118.0,,,-112.0,-118.0,,-112.0,
a.j. green,points,17.5,True,2026-03-01,,300.0,,,,,300.0,,,
a.j. green,points,19.5,True,2026-03-01,475.0,800.0,750.0,,,,800.0,,,
a.j. green,rebounds,2.5,False,2026-03-01,,140.0,,,-180.0,,140.0,,-180.0,
a.j. green,rebounds,3.5,True,2026-03-01,,600.0,430.0,,,,600.0,,,
a.j. green,threes,4.5,False,2026-03-01,,114.0,-108.0,,-145.0,-122.0,114.0,,-122.0,
a.j. green,threes,4.5,True,2026-03-01,,110.0,-105.0,,,,110.0,,,
a.j. green,threes,5.5,True,2026-03-01,230.0,450.0,400.0,,,,450.0,,,
a.j. green,threes,6.5,True,2026-03-01,800.0,,1200.0,,,,1200.0,,,
a.j. green,threes,7.5,True,2026-03-01,,,4000.0,,,,4000.0,,,
andre drummond,assists,0.5,False,2026-03-02,-210.0,-200.0,,155.0,150.0,,-200.0,,155.0,
andre drummond,assists,0.5,True,2026-03-02,,-206.0,,,,,-206.0,,,
andre drummond,assists,2.5,True,2026-03-02,,690.0,,,,,690.0,,,
andre drummond,assists,3.5,True,2026-03-02,,1780.0,,,,,1780.0,,,
andre drummond,points,2.5,True,2026-03-02,,,-800.0,,,450.0,-800.0,,450.0,
andre drummond,points,3.5,True,2026-03-02,,,-490.0,,,320.0,-490.0,,320.0,
andre drummond,points,4.5,True,2026-03-02,,,-290.0,,,205.0,-290.0,,205.0,
andre drummond,points,5.5,True,2026-03-02,,-173.0,-198.0,,,146.0,-173.0,,146.0,
andre drummond,points,6.5,False,2026-03-02,-118.0,-106.0,-130.0,-110.0,-120.0,102.0,-106.0,,102.0,
andre drummond,points,6.5,True,2026-03-02,,-106.0,-132.0,,,100.0,-106.0,,100.0,
andre drummond,points,7.5,True,2026-03-02,,129.0,108.0,,,-144.0,129.0,,-144.0,
andre drummond,points,8.5,True,2026-03-02,,,154.0,,,-205.0,154.0,,-205.0,
andre drummond,points,9.5,True,2026-03-02,220.0,259.0,210.0,,,-280.0,259.0,,-280.0,
andre drummond,points,11.5,True,2026-03-02,,489.0,,,,,489.0,,,
andre drummond,points,14.5,True,2026-03-02,,1200.0,800.0,,,,1200.0,,,
andre drummond,points,17.5,True,2026-03-02,,2400.0,,,,,2400.0,,,
andre drummond,rebounds,3.5,True,2026-03-02,,,-4000.0,,,,-4000.0,,,
andre drummond,rebounds,4.5,True,2026-03-02,,-1320.0,-1450.0,,,,-1320.0,,,
andre drummond,rebounds,5.5,True,2026-03-02,,-640.0,-600.0,,,370.0,-600.0,,370.0,
andre drummond,rebounds,6.5,True,2026-03-02,-2000.0,-348.0,-330.0,,,230.0,-330.0,,230.0,
andre drummond,rebounds,7.5,True,2026-03-02,,-207.0,-210.0,,,154.0,-207.0,,154.0,
andre drummond,rebounds,8.5,False,2026-03-02,,-133.0,-130.0,,101.0,102.0,-130.0,,102.0,
andre drummond,rebounds,8.5,True,2026-03-02,,-130.0,-132.0,,,100.0,-130.0,,100.0,
andre drummond,rebounds,9.5,False,2026-03-02,100.0,,,-135.0,,,100.0,,-135.0,
andre drummond,rebounds,9.5,True,2026-03-02,-235.0,117.0,100.0,,,-132.0,117.0,,-132.0,
andre drummond,rebounds,10.5,True,2026-03-02,,174.0,148.0,,,-200.0,174.0,,-200.0,
andre drummond,rebounds,11.5,True,2026-03-02,,252.0,210.0,,,-300.0,252.0,,-300.0,
andre drummond,rebounds,12.5,True,2026-03-02,165.0,360.0,300.0,,,-450.0,360.0,,-450.0,
andre drummond,rebounds,13.5,True,2026-03-02,,520.0,430.0,,,-700.0,520.0,,-700.0,
andre drummond,rebounds,14.5,True,2026-03-02,375.0,730.0,,,,,730.0,,,
andre drummond,rebounds,15.5,True,2026-03-02,,1020.0,830.0,,,,1020.0,,,
andre drummond,rebounds,16.5,True,2026-03-02,850.0,1400.0,,,,,1400.0,,,
andre drummond,threes,0.5,False,2026-03-02,165.0,,,-220.0,,,165.0,,-220.0,
anthony edwards,assists,3.5,True,2026-03-01,,,-1100.0,,,,-1100.0,,,
anthony edwards,assists,4.5,False,2026-03-01,,-166.0,-188.0,,130.0,140.0,-166.0,,140.0,
anthony edwards,assists,4.5,True,2026-03-01,-210.0,-180.0,,,,,-180.0,,,
anthony edwards,assists,5.5,True,2026-03-01,,145.0,168.0,,,,168.0,,,
anthony edwards,assists,6.5,True,2026-03-01,400.0,320.0,,,,,400.0,,,
anthony edwards,assists,7.5,True,2026-03-01,,700.0,920.0,,,,920.0,,,
anthony edwards,points,17.5,True,2026-03-01,,-5000.0,,,,,-5000.0,,,
anthony edwards,points,19.5,True,2026-03-01,-1400.0,-1400.0,-1450.0,,,,-1400.0,,,
anthony edwards,points,24.5,True,2026-03-01,-200.0,-230.0,-230.0,,,,-200.0,,,
anthony edwards,points,26.5,False,2026-03-01,,,-132.0,,,100.0,-132.0,,100.0,
anthony edwards,points,27.5,False,2026-03-01,,100.0,,,-130.0,,100.0,,-130.0,
anthony edwards,points,27.5,True,2026-03-01,,-110.0,,,,,-110.0,,,
anthony edwards,points,29.5,True,2026-03-01,200.0,150.0,164.0,,,,200.0,,,
anthony edwards,points,34.5,True,2026-03-01,700.0,450.0,520.0,,,,700.0,,,
anthony edwards,points,39.5,True,2026-03-01,,1200.0,1400.0,,,,1400.0,,,
anthony edwards,points,44.5,True,2026-03-01,,,5000.0,,,,5000.0,,,
anthony edwards,rebounds,3.5,True,2026-03-01,,-290.0,-330.0,,,,-290.0,,,
anthony edwards,rebounds,4.5,False,2026-03-01,,100.0,100.0,,-130.0,-132.0,100.0,,-130.0,
anthony edwards,rebounds,4.5,True,2026-03-01,-125.0,-105.0,,,,,-105.0,,,
anthony edwards,rebounds,5.5,True,2026-03-01,,230.0,240.0,,,,240.0,,,
anthony edwards,rebounds,6.5,True,2026-03-01,450.0,475.0,,,,,475.0,,,
anthony edwards,rebounds,7.5,True,2026-03-01,,1000.0,1200.0,,,,1200.0,,,
anthony edwards,threes,1.5,True,2026-03-01,,-700.0,-750.0,,,,-700.0,,,
anthony edwards,threes,2.5,False,2026-03-01,,-140.0,-148.0,,110.0,114.0,-140.0,,114.0,
