player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-152.0,114.0,False,fanduel,2026-03-05T14:16:55.456073
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-152.0,114.0,False,fanduel,2026-03-05T14:16:55.456086
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-128.0,-104.0,False,fanduel,2026-03-05T14:16:55.456089
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,-148.0,112.0,False,fanduel,2026-03-05T14:16:55.456092
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,116.0,-154.0,False,fanduel,2026-03-05T14:16:55.456094
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-125.0,-106.0,False,fanduel,2026-03-05T14:16:55.456096
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,-120.0,-110.0,False,fanduel,2026-03-05T14:16:55.456098
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,2.5,122.0,-162.0,False,fanduel,2026-03-05T14:16:55.456100
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,11.5,1500.0,,True,fanduel,2026-03-05T14:16:55.456133
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,11.5,2000.0,,True,fanduel,2026-03-05T14:16:55.456135
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-720.0,,True,fanduel,2026-03-05T14:16:55.456137
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-620.0,,True,fanduel,2026-03-05T14:16:55.456139
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-148.0,,True,fanduel,2026-03-05T14:16:55.456141
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-146.0,,True,fanduel,2026-03-05T14:16:55.456145
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-125.0,,True,fanduel,2026-03-05T14:16:55.456147
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,-122.0,,True,fanduel,2026-03-05T14:16:55.456148
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,118.0,,True,fanduel,2026-03-05T14:16:55.456150
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,310.0,,True,fanduel,2026-03-05T14:16:55.456152
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,420.0,,True,fanduel,2026-03-05T14:16:55.456153
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,600.0,,True,fanduel,2026-03-05T14:16:55.456155
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,630.0,,True,fanduel,2026-03-05T14:16:55.456157
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,3.5,900.0,,True,fanduel,2026-03-05T14:16:55.456161
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,9.5,600.0,,True,fanduel,2026-03-05T14:16:55.456162
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,9.5,750.0,,True,fanduel,2026-03-05T14:16:55.456164
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,235.0,,True,fanduel,2026-03-05T14:16:55.456166
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,300.0,,True,fanduel,2026-03-05T14:16:55.456168
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,1060.0,,True,fanduel,2026-03-05T14:16:55.456169
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,1100.0,,True,fanduel,2026-03-05T14:16:55.456171
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,1200.0,,True,fanduel,2026-03-05T14:16:55.456173
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,1300.0,,True,fanduel,2026-03-05T14:16:55.456174
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,7.5,1700.0,,True,fanduel,2026-03-05T14:16:55.456176
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,-146.0,,True,fanduel,2026-03-05T14:16:55.456178
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,-118.0,,True,fanduel,2026-03-05T14:16:55.456179
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,300.0,,True,fanduel,2026-03-05T14:16:55.456181
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,320.0,,True,fanduel,2026-03-05T14:16:55.456183
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,350.0,,True,fanduel,2026-03-05T14:16:55.456184
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,360.0,,True,fanduel,2026-03-05T14:16:55.456186
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,540.0,,True,fanduel,2026-03-05T14:16:55.456188
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,5.5,1400.0,,True,fanduel,2026-03-05T14:16:55.456189
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-1800.0,,True,fanduel,2026-03-05T14:16:55.456191
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-1400.0,,True,fanduel,2026-03-05T14:16:55.456193
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-1100.0,,True,fanduel,2026-03-05T14:16:55.456194
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-1000.0,,True,fanduel,2026-03-05T14:16:55.456209
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-670.0,,True,fanduel,2026-03-05T14:16:55.456211
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-250.0,,True,fanduel,2026-03-05T14:16:55.456213
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-194.0,,True,fanduel,2026-03-05T14:16:55.456217
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-136.0,,True,fanduel,2026-03-05T14:16:55.456218
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,-113.0,,True,fanduel,2026-03-05T14:16:55.456220
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,assists,1.5,110.0,,True,fanduel,2026-03-05T14:16:55.456222
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,18.5,-130.0,-102.0,False,fanduel,2026-03-05T14:16:55.456238
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,21.5,-122.0,-108.0,False,fanduel,2026-03-05T14:16:55.456241
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-118.0,-112.0,False,fanduel,2026-03-05T14:16:55.456242
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,16.5,-108.0,-122.0,False,fanduel,2026-03-05T14:16:55.456244
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,12.5,-122.0,-108.0,False,fanduel,2026-03-05T14:16:55.456246
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,13.5,100.0,-132.0,False,fanduel,2026-03-05T14:16:55.456248
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,12.5,-128.0,-104.0,False,fanduel,2026-03-05T14:16:55.456249
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-118.0,-112.0,False,fanduel,2026-03-05T14:16:55.456251
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,11.5,-114.0,-114.0,False,fanduel,2026-03-05T14:16:55.456253
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,12.5,-136.0,102.0,False,fanduel,2026-03-05T14:16:55.456254
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,-130.0,-102.0,False,fanduel,2026-03-05T14:16:55.456256
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,8.5,-102.0,-130.0,False,fanduel,2026-03-05T14:16:55.456258
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,34.5,680.0,,True,fanduel,2026-03-05T14:16:55.456289
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,34.5,1060.0,,True,fanduel,2026-03-05T14:16:55.456293
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,34.5,1400.0,,True,fanduel,2026-03-05T14:16:55.456295
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,-430.0,,True,fanduel,2026-03-05T14:16:55.456296
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,-192.0,,True,fanduel,2026-03-05T14:16:55.456300
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,100.0,,True,fanduel,2026-03-05T14:16:55.456302
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,200.0,,True,fanduel,2026-03-05T14:16:55.456304
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,310.0,,True,fanduel,2026-03-05T14:16:55.456306
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,440.0,,True,fanduel,2026-03-05T14:16:55.456307
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,450.0,,True,fanduel,2026-03-05T14:16:55.456309
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,450.0,,True,fanduel,2026-03-05T14:16:55.456311
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,470.0,,True,fanduel,2026-03-05T14:16:55.456312
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,800.0,,True,fanduel,2026-03-05T14:16:55.456314
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,1300.0,,True,fanduel,2026-03-05T14:16:55.456316
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,19.5,1700.0,,True,fanduel,2026-03-05T14:16:55.456317
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-3000.0,,True,fanduel,2026-03-05T14:16:55.456319
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-770.0,,True,fanduel,2026-03-05T14:16:55.456321
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-320.0,,True,fanduel,2026-03-05T14:16:55.456322
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-180.0,,True,fanduel,2026-03-05T14:16:55.456324
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,-115.0,,True,fanduel,2026-03-05T14:16:55.456326
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,138.0,,True,fanduel,2026-03-05T14:16:55.456328
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,134.0,,True,fanduel,2026-03-05T14:16:55.456329
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,134.0,,True,fanduel,2026-03-05T14:16:55.456331
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,142.0,,True,fanduel,2026-03-05T14:16:55.456333
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,215.0,,True,fanduel,2026-03-05T14:16:55.456334
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,370.0,,True,fanduel,2026-03-05T14:16:55.456336
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,14.5,560.0,,True,fanduel,2026-03-05T14:16:55.456338
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,39.5,1500.0,,True,fanduel,2026-03-05T14:16:55.456339
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,39.5,2500.0,,True,fanduel,2026-03-05T14:16:55.456341
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,39.5,3000.0,,True,fanduel,2026-03-05T14:16:55.456343
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,44.5,5000.0,,True,fanduel,2026-03-05T14:16:55.456344
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,-125.0,,True,fanduel,2026-03-05T14:16:55.456346
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,158.0,,True,fanduel,2026-03-05T14:16:55.456350
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,265.0,,True,fanduel,2026-03-05T14:16:55.456352
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,560.0,,True,fanduel,2026-03-05T14:16:55.456353
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,1000.0,,True,fanduel,2026-03-05T14:16:55.456355
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,1200.0,,True,fanduel,2026-03-05T14:16:55.456357
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,1300.0,,True,fanduel,2026-03-05T14:16:55.456358
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,1300.0,,True,fanduel,2026-03-05T14:16:55.456360
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,1400.0,,True,fanduel,2026-03-05T14:16:55.456362
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,24.5,2200.0,,True,fanduel,2026-03-05T14:16:55.456363
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-7000.0,,True,fanduel,2026-03-05T14:16:55.456365
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-1800.0,,True,fanduel,2026-03-05T14:16:55.456367
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-850.0,,True,fanduel,2026-03-05T14:16:55.456368
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-590.0,,True,fanduel,2026-03-05T14:16:55.456370
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-330.0,,True,fanduel,2026-03-05T14:16:55.456372
Jalen Suggs,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-330.0,,True,fanduel,2026-03-05T14:16:55.456373
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-320.0,,True,fanduel,2026-03-05T14:16:55.456375
Max Christie,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-295.0,,True,fanduel,2026-03-05T14:16:55.456377
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-215.0,,True,fanduel,2026-03-05T14:16:55.456379
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,-115.0,,True,fanduel,2026-03-05T14:16:55.456380
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,9.5,134.0,,True,fanduel,2026-03-05T14:16:55.456382
Paolo Banchero,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,29.5,230.0,,True,fanduel,2026-03-05T14:16:55.456384
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,29.5,430.0,,True,fanduel,2026-03-05T14:16:55.456385
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,29.5,630.0,,True,fanduel,2026-03-05T14:16:55.456389
Naji Marshall,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,29.5,1500.0,,True,fanduel,2026-03-05T14:16:55.456391
Anthony Black,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,points,29.5,2500.0,,True,fanduel,2026-03-05T14:16:55.456394
Cooper Flagg,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,5.5,-106.0,-125.0,False,fanduel,2026-03-05T14:16:55.456410
Brandon Williams,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,3.5,104.0,-138.0,False,fanduel,2026-03-05T14:16:55.456412
P.J. Washington,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,5.5,-138.0,104.0,False,fanduel,2026-03-05T14:16:55.456414
Daniel Gafford,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,6.5,108.0,-144.0,False,fanduel,2026-03-05T14:16:55.456415
Tristan da Silva,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,4.5,-110.0,-120.0,False,fanduel,2026-03-05T14:16:55.456417
Desmond Bane,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,3.5,-152.0,114.0,False,fanduel,2026-03-05T14:16:55.456419
Wendell Carter Jr,,,9433b263c495c0f5968b95317cc639f6,2026-03-06,00:10,rebounds,7.5,-130.0,-102.0,False,fanduel,2026-03-05T14:16:55.456421
