player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
de'aaron fox,assists,2.5,True,2026-06-09,-1600.0,-1680.0,,,,,-1600.0,,,
de'aaron fox,assists,3.5,True,2026-06-09,,-539.0,-520.0,,,350.0,-520.0,,350.0,
de'aaron fox,assists,4.5,True,2026-06-09,-250.0,-236.0,-230.0,,,168.0,-230.0,,168.0,
de'aaron fox,assists,5.5,False,2026-06-09,-120.0,-119.0,-108.0,-110.0,-110.0,-122.0,-108.0,,-110.0,
de'aaron fox,assists,5.5,True,2026-06-09,,-118.0,-106.0,,,-122.0,-106.0,,-122.0,
de'aaron fox,assists,6.5,True,2026-06-09,155.0,162.0,182.0,,,-250.0,182.0,,-250.0,
de'aaron fox,assists,7.5,True,2026-06-09,,304.0,350.0,,,-550.0,350.0,,-550.0,
de'aaron fox,assists,8.5,True,2026-06-09,,551.0,,,,-1400.0,551.0,,-1400.0,
de'aaron fox,assists,9.5,True,2026-06-09,850.0,980.0,1000.0,,,,1000.0,,,
de'aaron fox,assists,10.5,True,2026-06-09,,1640.0,,,,,1640.0,,,
de'aaron fox,assists,11.5,True,2026-06-09,,2500.0,3000.0,,,,3000.0,,,
de'aaron fox,points,7.5,True,2026-06-09,,-1280.0,,,,,-1280.0,,,
de'aaron fox,points,9.5,True,2026-06-09,-525.0,-541.0,-700.0,,,410.0,-525.0,,410.0,
de'aaron fox,points,10.5,True,2026-06-09,,,-470.0,,,310.0,-470.0,,310.0,
de'aaron fox,points,11.5,True,2026-06-09,,-273.0,-320.0,,,225.0,-273.0,,225.0,
de'aaron fox,points,12.5,True,2026-06-09,,,-245.0,,,178.0,-245.0,,178.0,
de'aaron fox,points,13.5,True,2026-06-09,,,-180.0,,,134.0,-180.0,,134.0,
de'aaron fox,points,14.5,False,2026-06-09,-115.0,-121.0,,-115.0,-106.0,,-115.0,,-106.0,
de'aaron fox,points,14.5,True,2026-06-09,-115.0,-121.0,-130.0,,,100.0,-115.0,,100.0,
de'aaron fox,points,15.5,False,2026-06-09,,,-104.0,,,-128.0,-104.0,,-128.0,
de'aaron fox,points,15.5,True,2026-06-09,,,-104.0,,,-128.0,-104.0,,-128.0,
de'aaron fox,points,16.5,True,2026-06-09,,,126.0,,,-168.0,126.0,,-168.0,
de'aaron fox,points,17.5,True,2026-06-09,,178.0,164.0,,,-225.0,178.0,,-225.0,
de'aaron fox,points,18.5,True,2026-06-09,,,210.0,,,-300.0,210.0,,-300.0,
