player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
de'aaron fox,assists,2.5,True,2026-06-11,,-2400.0,,,,,-2400.0,,,
de'aaron fox,assists,3.5,True,2026-06-11,,-700.0,-900.0,,,490.0,-700.0,,490.0,
de'aaron fox,assists,4.5,True,2026-06-11,-300.0,-295.0,-350.0,,,240.0,-295.0,,240.0,
de'aaron fox,assists,5.5,False,2026-06-11,-150.0,-144.0,,110.0,109.0,,-144.0,,110.0,
de'aaron fox,assists,5.5,True,2026-06-11,,-144.0,-166.0,,,124.0,-144.0,,124.0,
de'aaron fox,assists,6.5,False,2026-06-11,,,118.0,,,-158.0,118.0,,-158.0,
de'aaron fox,assists,6.5,True,2026-06-11,125.0,131.0,118.0,,,-158.0,131.0,,-158.0,
de'aaron fox,assists,7.5,True,2026-06-11,,239.0,220.0,,,-310.0,239.0,,-310.0,
de'aaron fox,assists,8.5,True,2026-06-11,,426.0,390.0,,,-650.0,426.0,,-650.0,
de'aaron fox,assists,9.5,True,2026-06-11,700.0,760.0,600.0,,,,760.0,,,
de'aaron fox,assists,10.5,True,2026-06-11,,1280.0,,,,,1280.0,,,
de'aaron fox,assists,11.5,True,2026-06-11,,2000.0,1500.0,,,,2000.0,,,
de'aaron fox,assists,12.5,True,2026-06-11,,2800.0,,,,,2800.0,,,
de'aaron fox,points,7.5,True,2026-06-11,,-1140.0,,,,,-1140.0,,,
de'aaron fox,points,8.5,True,2026-06-11,,,-800.0,,,450.0,-800.0,,450.0,
de'aaron fox,points,9.5,True,2026-06-11,-500.0,-469.0,-550.0,,,350.0,-469.0,,350.0,
de'aaron fox,points,10.5,True,2026-06-11,,,-360.0,,,250.0,-360.0,,250.0,
de'aaron fox,points,11.5,True,2026-06-11,,-240.0,-250.0,,,188.0,-240.0,,188.0,
de'aaron fox,points,12.5,True,2026-06-11,,,-188.0,,,140.0,-188.0,,140.0,
de'aaron fox,points,13.5,True,2026-06-11,,,-140.0,,,106.0,-140.0,,106.0,
de'aaron fox,points,14.5,False,2026-06-11,100.0,-102.0,-102.0,-135.0,-124.0,-130.0,100.0,,-124.0,
de'aaron fox,points,14.5,True,2026-06-11,-110.0,-103.0,100.0,,,-130.0,100.0,,-130.0,
