player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,-130.0,102.0,False,fanduel,2026-03-04T22:06:25.066631
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,-170.0,132.0,False,fanduel,2026-03-04T22:06:25.066645
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,112.0,-142.0,False,fanduel,2026-03-04T22:06:25.066649
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,-138.0,108.0,False,fanduel,2026-03-04T22:06:25.066651
Karl-Anthony Towns,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,126.0,-162.0,False,fanduel,2026-03-04T22:06:25.066653
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,118.0,-150.0,False,fanduel,2026-03-04T22:06:25.066656
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,4.5,-142.0,112.0,False,fanduel,2026-03-04T22:06:25.066658
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,6.5,-102.0,-125.0,False,fanduel,2026-03-04T22:06:25.066660
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,450.0,,True,fanduel,2026-03-04T22:06:25.066717
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,800.0,,True,fanduel,2026-03-04T22:06:25.066720
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,1060.0,,True,fanduel,2026-03-04T22:06:25.066722
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-530.0,360.0,True,fanduel,2026-03-04T22:06:25.066724
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,-174.0,130.0,True,fanduel,2026-03-04T22:06:25.066726
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,154.0,-210.0,True,fanduel,2026-03-04T22:06:25.066728
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,4.5,350.0,-550.0,True,fanduel,2026-03-04T22:06:25.066730
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-670.0,410.0,True,fanduel,2026-03-04T22:06:25.066732
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,-220.0,162.0,True,fanduel,2026-03-04T22:06:25.066734
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,118.0,-154.0,True,fanduel,2026-03-04T22:06:25.066735
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,4.5,270.0,-400.0,True,fanduel,2026-03-04T22:06:25.066737
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,560.0,-1100.0,True,fanduel,2026-03-04T22:06:25.066739
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-4500.0,,True,fanduel,2026-03-04T22:06:25.066743
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-700.0,410.0,True,fanduel,2026-03-04T22:06:25.066745
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-390.0,,True,fanduel,2026-03-04T22:06:25.066746
