player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,-104,-128.0,False,fanduel,2026-03-04T14:14:50.082622
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,-130,-102.0,False,fanduel,2026-03-04T14:14:50.082636
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,-154,116.0,False,fanduel,2026-03-04T14:14:50.082639
OG Anunoby,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,122,-162.0,False,fanduel,2026-03-04T14:14:50.082642
Karl-Anthony Towns,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,122,-162.0,False,fanduel,2026-03-04T14:14:50.082644
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,142,-192.0,False,fanduel,2026-03-04T14:14:50.082646
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,116,-154.0,False,fanduel,2026-03-04T14:14:50.082648
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,4.5,-146,110.0,False,fanduel,2026-03-04T14:14:50.082650
Isaiah Joe,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,158,-215.0,False,fanduel,2026-03-04T14:14:50.082653
Alex Caruso,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,130,-174.0,False,fanduel,2026-03-04T14:14:50.082655
Chet Holmgren,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,2.5,148,-200.0,False,fanduel,2026-03-04T14:14:50.082656
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,6.5,100,-132.0,False,fanduel,2026-03-04T14:14:50.082658
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,500,,True,fanduel,2026-03-04T14:14:50.082692
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,800,,True,fanduel,2026-03-04T14:14:50.082695
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,9.5,1000,,True,fanduel,2026-03-04T14:14:50.082696
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,-1100,,True,fanduel,2026-03-04T14:14:50.082698
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,-620,,True,fanduel,2026-03-04T14:14:50.082700
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,-320,,True,fanduel,2026-03-04T14:14:50.082702
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,-102,,True,fanduel,2026-03-04T14:14:50.082703
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,118,,True,fanduel,2026-03-04T14:14:50.082705
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,142,,True,fanduel,2026-03-04T14:14:50.082707
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,154,,True,fanduel,2026-03-04T14:14:50.082709
Alex Caruso,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,310,,True,fanduel,2026-03-04T14:14:50.082710
Karl-Anthony Towns,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,310,,True,fanduel,2026-03-04T14:14:50.082712
OG Anunoby,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,320,,True,fanduel,2026-03-04T14:14:50.082714
Chet Holmgren,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,390,,True,fanduel,2026-03-04T14:14:50.082715
Isaiah Joe,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,3.5,400,,True,fanduel,2026-03-04T14:14:50.082717
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,-188,,True,fanduel,2026-03-04T14:14:50.082719
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,-125,,True,fanduel,2026-03-04T14:14:50.082721
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,140,,True,fanduel,2026-03-04T14:14:50.082722
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,420,,True,fanduel,2026-03-04T14:14:50.082724
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,540,,True,fanduel,2026-03-04T14:14:50.082726
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,630,,True,fanduel,2026-03-04T14:14:50.082730
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,680,,True,fanduel,2026-03-04T14:14:50.082732
Alex Caruso,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,1300,,True,fanduel,2026-03-04T14:14:50.082734
OG Anunoby,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,1400,,True,fanduel,2026-03-04T14:14:50.082735
Karl-Anthony Towns,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,5.5,1500,,True,fanduel,2026-03-04T14:14:50.082737
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-4500,,True,fanduel,2026-03-04T14:14:50.082739
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-850,,True,fanduel,2026-03-04T14:14:50.082740
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-670,,True,fanduel,2026-03-04T14:14:50.082744
Cason Wallace,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-620,,True,fanduel,2026-03-04T14:14:50.082746
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-430,,True,fanduel,2026-03-04T14:14:50.082747
Karl-Anthony Towns,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-260,,True,fanduel,2026-03-04T14:14:50.082749
OG Anunoby,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-250,,True,fanduel,2026-03-04T14:14:50.082751
Alex Caruso,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-220,,True,fanduel,2026-03-04T14:14:50.082752
Chet Holmgren,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-210,,True,fanduel,2026-03-04T14:14:50.082754
Isaiah Joe,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,1.5,-180,,True,fanduel,2026-03-04T14:14:50.082756
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,190,,True,fanduel,2026-03-04T14:14:50.082758
Jalen Brunson,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,285,,True,fanduel,2026-03-04T14:14:50.082759
Josh Hart,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,450,,True,fanduel,2026-03-04T14:14:50.082761
Isaiah Hartenstein,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,1400,,True,fanduel,2026-03-04T14:14:50.082763
Mikal Bridges,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,1800,,True,fanduel,2026-03-04T14:14:50.082764
Jose Alvarado,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,7.5,1800,,True,fanduel,2026-03-04T14:14:50.082766
Shai Gilgeous-Alexander,,,5e27bbc527b9df8725ac9fcf03174b8c,2026-03-05,00:10,assists,11.5,1400,,True,fanduel,2026-03-04T14:14:50.082768
