player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
ajay mitchell,assists,1.5,True,2026-05-06,,,-1100.0,,,,-1100.0,,,
ajay mitchell,assists,2.5,True,2026-05-06,-295.0,-330.0,,,,,-295.0,,,
ajay mitchell,assists,3.5,False,2026-05-06,-118.0,-129.0,-114.0,-111.0,-102.0,-114.0,-114.0,,-102.0,
ajay mitchell,assists,3.5,True,2026-05-06,,-130.0,-113.0,,,,-113.0,,,
ajay mitchell,assists,4.5,True,2026-05-06,180.0,167.0,,,,,180.0,,,
ajay mitchell,assists,5.5,True,2026-05-06,,347.0,400.0,,,,400.0,,,
ajay mitchell,assists,6.5,True,2026-05-06,700.0,710.0,,,,,710.0,,,
ajay mitchell,assists,7.5,True,2026-05-06,,1360.0,1500.0,,,,1500.0,,,
ajay mitchell,assists,8.5,True,2026-05-06,,2300.0,,,,,2300.0,,,
ajay mitchell,points,7.5,True,2026-05-06,,-1800.0,,,,,-1800.0,,,
ajay mitchell,points,9.5,True,2026-05-06,-750.0,-730.0,-850.0,,,,-730.0,,,
ajay mitchell,points,11.5,True,2026-05-06,,-369.0,,,,,-369.0,,,
ajay mitchell,points,14.5,True,2026-05-06,-155.0,-160.0,-160.0,,,,-155.0,,,
ajay mitchell,points,15.5,False,2026-05-06,-115.0,-126.0,-125.0,-115.0,-101.0,-106.0,-115.0,,-101.0,
ajay mitchell,points,15.5,True,2026-05-06,,-124.0,,,,,-124.0,,,
ajay mitchell,points,17.5,True,2026-05-06,,129.0,,,,,129.0,,,
ajay mitchell,points,19.5,True,2026-05-06,230.0,201.0,240.0,,,,240.0,,,
ajay mitchell,points,24.5,True,2026-05-06,700.0,568.0,800.0,,,,800.0,,,
ajay mitchell,points,29.5,True,2026-05-06,,1500.0,2000.0,,,,2000.0,,,
ajay mitchell,points,34.5,True,2026-05-06,,3000.0,,,,,3000.0,,,
ajay mitchell,rebounds,2.5,True,2026-05-06,-450.0,-379.0,,,,,-379.0,,,
ajay mitchell,rebounds,3.5,False,2026-05-06,-165.0,-151.0,-158.0,125.0,114.0,118.0,-151.0,,125.0,
ajay mitchell,rebounds,3.5,True,2026-05-06,,-151.0,-154.0,,,,-151.0,,,
ajay mitchell,rebounds,4.5,True,2026-05-06,125.0,138.0,,,,,138.0,,,
ajay mitchell,rebounds,5.5,True,2026-05-06,,273.0,300.0,,,,300.0,,,
ajay mitchell,rebounds,6.5,True,2026-05-06,475.0,524.0,,,,,524.0,,,
ajay mitchell,rebounds,7.5,True,2026-05-06,,960.0,1100.0,,,,1100.0,,,
ajay mitchell,rebounds,8.5,True,2026-05-06,,1640.0,,,,,1640.0,,,
ajay mitchell,rebounds,9.5,True,2026-05-06,,2700.0,,,,,2700.0,,,
ajay mitchell,threes,0.5,True,2026-05-06,-450.0,-404.0,-430.0,,,,-404.0,,,
ajay mitchell,threes,1.5,False,2026-05-06,105.0,115.0,114.0,-140.0,-152.0,-152.0,115.0,,-140.0,
ajay mitchell,threes,1.5,True,2026-05-06,100.0,115.0,116.0,,,,116.0,,,
ajay mitchell,threes,2.5,True,2026-05-06,310.0,347.0,350.0,,,,350.0,,,
