player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Victor Wembanyama,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,2.5,-180.0,134.0,False,fanduel,2026-03-01T14:05:15.520175
Jalen Brunson,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,5.5,-158.0,118.0,False,fanduel,2026-03-01T14:05:15.520188
Karl-Anthony Towns,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,2.5,-102.0,-130.0,False,fanduel,2026-03-01T14:05:15.520192
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,3.5,-125.0,-104.0,False,fanduel,2026-03-01T14:05:15.520194
Stephon Castle,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,6.5,100.0,-132.0,False,fanduel,2026-03-01T14:05:15.520196
Josh Hart,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,4.5,-162.0,122.0,False,fanduel,2026-03-01T14:05:15.520198
Mikal Bridges,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,3.5,-110.0,-120.0,False,fanduel,2026-03-01T14:05:15.520200
Jose Alvarado,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,3.5,142.0,-192.0,False,fanduel,2026-03-01T14:05:15.520202
De'Aaron Fox,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,5.5,-140.0,106.0,False,fanduel,2026-03-01T14:05:15.520205
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,1.5,-1000.0,,True,fanduel,2026-03-01T14:05:15.520306
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,2.5,-310.0,220.0,True,fanduel,2026-03-01T14:05:15.520309
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,3.5,-122.0,-104.0,True,fanduel,2026-03-01T14:05:15.520311
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,4.5,174.0,-240.0,True,fanduel,2026-03-01T14:05:15.520313
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,5.5,340.0,-500.0,True,fanduel,2026-03-01T14:05:15.520315
Dylan Harper,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,6.5,,-1450.0,True,fanduel,2026-03-01T14:05:15.520317
Stephon Castle,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,11.5,1300.0,,True,fanduel,2026-03-01T14:05:15.520319
De'Aaron Fox,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,11.5,1500.0,,True,fanduel,2026-03-01T14:05:15.520320
Jalen Brunson,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,11.5,1500.0,,True,fanduel,2026-03-01T14:05:15.520322
Stephon Castle,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,7.5,182.0,-250.0,True,fanduel,2026-03-01T14:05:15.520324
Jalen Brunson,,,bb4195b038cce802d282f17ff4ca7471,2026-03-01,18:10,assists,7.5,220.0,-310.0,True,fanduel,2026-03-01T14:05:15.520326
