player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
aaron nesmith,assists,0.5,True,2026-02-03,,,-1200.0,,,,-1200.0,,,
aaron nesmith,assists,1.5,False,2026-02-03,-175.0,,,135.0,,,-175.0,,135.0,
aaron nesmith,assists,1.5,True,2026-02-03,,-172.0,-205.0,,,154.0,-172.0,,154.0,
aaron nesmith,assists,2.5,True,2026-02-03,,172.0,158.0,,,-215.0,172.0,,-215.0,
aaron nesmith,assists,3.5,True,2026-02-03,,454.0,420.0,,,-670.0,454.0,,-670.0,
aaron nesmith,assists,4.5,True,2026-02-03,,1060.0,,,,,1060.0,,,
aaron nesmith,assists,5.5,True,2026-02-03,,2100.0,,,,,2100.0,,,
aaron nesmith,points,5.5,True,2026-02-03,,-1240.0,,,,,-1240.0,,,
aaron nesmith,points,6.5,True,2026-02-03,,,-1100.0,,,,-1100.0,,,
aaron nesmith,points,7.5,True,2026-02-03,,-516.0,-600.0,,,370.0,-516.0,,370.0,
aaron nesmith,points,8.5,True,2026-02-03,,,-420.0,,,280.0,-420.0,,280.0,
aaron nesmith,points,9.5,True,2026-02-03,-350.0,-263.0,-290.0,,,205.0,-263.0,,205.0,
aaron nesmith,points,10.5,True,2026-02-03,,,-215.0,,,158.0,-215.0,,158.0,
aaron nesmith,points,11.5,True,2026-02-03,,-141.0,-154.0,,,116.0,-141.0,,116.0,
aaron nesmith,points,12.5,False,2026-02-03,,-109.0,-114.0,,-117.0,-114.0,-109.0,,-114.0,
aaron nesmith,points,12.5,True,2026-02-03,,-109.0,-114.0,,,-114.0,-109.0,,-114.0,
aaron nesmith,points,13.5,False,2026-02-03,105.0,,,-145.0,,,105.0,,-145.0,
aaron nesmith,points,13.5,True,2026-02-03,,,114.0,,,-152.0,114.0,,-152.0,
aaron nesmith,points,14.5,True,2026-02-03,125.0,156.0,148.0,,,-200.0,156.0,,-200.0,
aaron nesmith,points,15.5,True,2026-02-03,,,194.0,,,-270.0,194.0,,-270.0,
aaron nesmith,points,16.5,True,2026-02-03,,,240.0,,,-350.0,240.0,,-350.0,
aaron nesmith,points,17.5,True,2026-02-03,,325.0,300.0,,,-450.0,325.0,,-450.0,
aaron nesmith,points,19.5,True,2026-02-03,425.0,504.0,500.0,,,,504.0,,,
aaron nesmith,points,24.5,True,2026-02-03,,1580.0,1400.0,,,,1580.0,,,
aaron nesmith,rebounds,2.5,True,2026-02-03,-700.0,-403.0,,,,,-403.0,,,
aaron nesmith,rebounds,3.5,False,2026-02-03,,-160.0,,,121.0,,-160.0,,121.0,
aaron nesmith,rebounds,3.5,True,2026-02-03,,-161.0,-186.0,,,,-161.0,,,
aaron nesmith,rebounds,4.5,False,2026-02-03,115.0,,122.0,-155.0,,-162.0,122.0,,-155.0,
aaron nesmith,rebounds,4.5,True,2026-02-03,-115.0,133.0,,,,,133.0,,,
aaron nesmith,rebounds,5.5,True,2026-02-03,,268.0,240.0,,,,268.0,,,
aaron nesmith,rebounds,6.5,True,2026-02-03,340.0,513.0,,,,,513.0,,,
aaron nesmith,rebounds,7.5,True,2026-02-03,,960.0,870.0,,,,960.0,,,
aaron nesmith,rebounds,8.5,True,2026-02-03,,1720.0,,,,,1720.0,,,
aaron nesmith,rebounds,9.5,True,2026-02-03,,,2000.0,,,,2000.0,,,
aaron nesmith,threes,0.5,True,2026-02-03,-1400.0,-920.0,-1100.0,,,,-920.0,,,
aaron nesmith,threes,1.5,False,2026-02-03,-190.0,-184.0,-198.0,145.0,139.0,146.0,-184.0,,146.0,
aaron nesmith,threes,1.5,True,2026-02-03,-225.0,-186.0,-188.0,,,146.0,-186.0,,146.0,
aaron nesmith,threes,2.5,True,2026-02-03,135.0,155.0,162.0,,,-220.0,162.0,,-220.0,
aaron nesmith,threes,3.5,True,2026-02-03,340.0,399.0,400.0,,,-670.0,400.0,,-670.0,
aaron nesmith,threes,4.5,True,2026-02-03,850.0,890.0,950.0,,,,950.0,,,
aaron nesmith,threes,5.5,True,2026-02-03,,1920.0,1700.0,,,,1920.0,,,
alperen sengun,assists,2.5,True,2026-02-03,,-2600.0,,,,,-2600.0,,,
alperen sengun,assists,3.5,True,2026-02-03,,-730.0,-850.0,,,490.0,-730.0,,490.0,
alperen sengun,assists,4.5,True,2026-02-03,,-309.0,-340.0,,,235.0,-309.0,,235.0,
