player_normalized,prop_type,line,is_alt_line,game_date,betmgm_over_odds,draftkings_over_odds,fanduel_over_odds,betmgm_under_odds,draftkings_under_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
ajay mitchell,assists,1.5,True,2026-05-08,,,-1450.0,,,,-1450.0,,,
ajay mitchell,assists,2.5,True,2026-05-08,-325.0,-340.0,-360.0,,,255.0,-325.0,,255.0,
ajay mitchell,assists,3.5,False,2026-05-08,-130.0,-151.0,-138.0,-105.0,114.0,108.0,-130.0,,114.0,
ajay mitchell,assists,3.5,True,2026-05-08,,-150.0,-140.0,,,106.0,-140.0,,106.0,
ajay mitchell,assists,4.5,True,2026-05-08,165.0,134.0,164.0,,,-225.0,165.0,,-225.0,
ajay mitchell,assists,5.5,True,2026-05-08,,260.0,350.0,,,-550.0,350.0,,-550.0,
ajay mitchell,assists,6.5,True,2026-05-08,675.0,481.0,,,,,675.0,,,
ajay mitchell,assists,7.5,True,2026-05-08,,890.0,1300.0,,,,1300.0,,,
ajay mitchell,assists,8.5,True,2026-05-08,,1600.0,,,,,1600.0,,,
ajay mitchell,assists,9.5,True,2026-05-08,,2500.0,,,,,2500.0,,,
ajay mitchell,points,7.5,True,2026-05-08,,-1760.0,,,,,-1760.0,,,
ajay mitchell,points,9.5,True,2026-05-08,-1100.0,-700.0,-850.0,,,470.0,-700.0,,470.0,
ajay mitchell,points,10.5,True,2026-05-08,,,-580.0,,,360.0,-580.0,,360.0,
ajay mitchell,points,11.5,True,2026-05-08,,-360.0,-400.0,,,270.0,-360.0,,270.0,
ajay mitchell,points,12.5,True,2026-05-08,,,-290.0,,,205.0,-290.0,,205.0,
ajay mitchell,points,13.5,True,2026-05-08,,,-225.0,,,164.0,-225.0,,164.0,
ajay mitchell,points,14.5,True,2026-05-08,-200.0,-157.0,-166.0,,,124.0,-157.0,,124.0,
ajay mitchell,points,15.5,False,2026-05-08,,-122.0,,,-104.0,,-122.0,,-104.0,
ajay mitchell,points,15.5,True,2026-05-08,,-123.0,-128.0,,,-104.0,-123.0,,-104.0,
ajay mitchell,points,16.5,False,2026-05-08,115.0,,104.0,-155.0,,-132.0,115.0,,-132.0,
ajay mitchell,points,16.5,True,2026-05-08,,,102.0,,,-136.0,102.0,,-136.0,
ajay mitchell,points,17.5,True,2026-05-08,,131.0,136.0,,,-182.0,136.0,,-182.0,
ajay mitchell,points,18.5,True,2026-05-08,,,172.0,,,-235.0,172.0,,-235.0,
ajay mitchell,points,19.5,True,2026-05-08,175.0,203.0,220.0,,,-310.0,220.0,,-310.0,
ajay mitchell,points,20.5,True,2026-05-08,,,270.0,,,-400.0,270.0,,-400.0,
