player_name,team,opponent,game_id,game_date,game_time,prop_type,line,over_odds,under_odds,is_alt_line,sportsbook,scraped_at
Amen Thompson,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,120,-160.0,False,fanduel,2026-03-02T14:17:03.768763
Alperen Sengun,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,-154,116.0,False,fanduel,2026-03-02T14:17:03.768777
Kevin Durant,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,4.5,-102,-130.0,False,fanduel,2026-03-02T14:17:03.768780
Reed Sheppard,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,3.5,-154,116.0,False,fanduel,2026-03-02T14:17:03.768782
Carlton Carrington,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,4.5,132,-178.0,False,fanduel,2026-03-02T14:17:03.768784
Alperen Sengun,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,-150,,True,fanduel,2026-03-02T14:17:03.768811
Amen Thompson,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,124,,True,fanduel,2026-03-02T14:17:03.768814
Kevin Durant,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,210,,True,fanduel,2026-03-02T14:17:03.768816
Carlton Carrington,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,250,,True,fanduel,2026-03-02T14:17:03.768819
Reed Sheppard,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,285,,True,fanduel,2026-03-02T14:17:03.768821
Kyshawn George,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,870,,True,fanduel,2026-03-02T14:17:03.768823
Bilal Coulibaly,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,5.5,1400,,True,fanduel,2026-03-02T14:17:03.768824
Alperen Sengun,,,23f7e8ebef76ec1b639f412eccfdfda4,2026-03-03,00:10,assists,9.5,600,,True,fanduel,2026-03-02T14:17:03.768826
